ID,Name,Category,Group,File,Source UUID
ELD-ENC-TI-027,Inserted Image,Shared,,Shared/ELD-ENC-TI-027_inserted_image_09.png,6E385E8D-F8A3-4AD2-8F48-AACB6C340D26
ELD-ENC-TI-028,Inserted Image,Shared,,Shared/ELD-ENC-TI-028_inserted_image_10.png,C492A719-21C0-4813-B03E-B95DE38C291A
ELD-ENC-TI-029,Inserted Image,Shared,,Shared/ELD-ENC-TI-029_inserted_image_11.png,777CDE95-CC2A-48C4-80C4-31C12DB06535
ELD-ENC-TI-030,Layer 31,Shared,,Shared/ELD-ENC-TI-030_layer_31.png,FE250A48-F56A-4A90-B70B-917EEC5C2D06
ELD-ENC-TI-031,Layer 25,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TI-031_layer_25.png,E599F2DB-2E3C-4CAE-91C6-9389667DED9E
ELD-ENC-TI-032,Layer 27,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TI-032_layer_27_02.png,F3985911-BFF5-48BB-94D5-6FFCDBA6FFF7
ELD-ENC-TI-033,Inserted Image,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TI-033_inserted_image_12.png,656B6C43-00C8-4DD1-A9F5-9549544F540C
ELD-ENC-TI-034,Inserted Image,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TI-034_inserted_image_13.png,6C105CE3-566E-4AB9-A5AB-3B504AB31043
ELD-ENC-TI-035,Layer 29,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TI-035_layer_29_02.png,C159DCFF-1C2E-4A5A-A146-7DE300FE1C72
ELD-ENC-TI-036,Layer 26,Shared,,Shared/ELD-ENC-TI-036_layer_26.png,1513946F-C156-4685-B0D2-D63765013E1C
ELD-ENC-TI-037,Layer 29,Shared,,Shared/ELD-ENC-TI-037_layer_29_03.png,D398F5BE-20CD-43C6-B4D0-AA18FBF6E99F
