ID,Name,Category,Group,File,Source UUID
ELD-ENC-TU-017,Layer 27,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-017_layer_27.png,E79D2104-B1C2-45F7-8C45-2EE34A098A9E
ELD-ENC-TU-018,Layer 3,UI/CoreTemplate,Core Template,UI/CoreTemplate/ELD-ENC-TU-018_layer_3.png,06BF04B2-E8CD-4F94-B954-431B4B99EDFE
ELD-ENC-TU-019,Layer 43,Shared,,,9CD8E3BE-0259-4913-B8B9-2A35620E3807
ELD-ENC-TU-020,Layer 42,Shared,,Shared/ELD-ENC-TU-020_layer_42.png,AE8AD729-30C0-4609-BD71-8EFC84C3CEAC
ELD-ENC-TU-021,Inserted Image,Shared,,Shared/ELD-ENC-TU-021_inserted_image_02.png,F9E98DAB-B025-448B-8F54-ED0F1F17B59D
ELD-ENC-TU-022,Layer 48,Shared,,Shared/ELD-ENC-TU-022_layer_48.png,93DD5C3D-3B34-4536-9FBF-7160F77D1ED0
ELD-ENC-TU-023,Inserted Image,Shared,,Shared/ELD-ENC-TU-023_inserted_image_03.png,F85B770E-1A7B-4730-B57C-46ADB116CE03
ELD-ENC-TU-024,Layer 44,Shared,,Shared/ELD-ENC-TU-024_layer_44.png,86D20941-C3A0-462E-91F6-0387BBC50440
ELD-ENC-TU-025,Inserted Image,Shared,,Shared/ELD-ENC-TU-025_inserted_image_04.png,4F69EDBE-3407-418D-B670-B306FD8C72D3
ELD-ENC-TU-026,Inserted Image,Shared,,Shared/ELD-ENC-TU-026_inserted_image_05.png,204949F3-B47E-4273-8AFC-1B612530A448
ELD-ENC-TU-027,Layer 60,Shared,,Shared/ELD-ENC-TU-027_layer_60.png,B51B2789-F95B-41AD-A4D2-ED2AAE4AFE90
ELD-ENC-TU-028,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-028_inserted_image_06.png,EEE4A35C-3795-4688-8C2A-51662A6B7B13
ELD-ENC-TU-029,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-029_inserted_image_07.png,6F023EFF-E033-4ECC-A18C-03730CEEB95D
ELD-ENC-TU-030,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-030_inserted_image_08.png,900958D7-D8AA-4A5D-84A5-43B25AE69FE0
ELD-ENC-TU-031,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-031_inserted_image_09.png,32F8F277-6387-420B-82C0-79EACE8B7B59
ELD-ENC-TU-032,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-032_inserted_image_10.png,E198AA11-BD8E-4294-9C79-FE7D15B7DAD2
ELD-ENC-TU-033,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-033_inserted_image_11.png,3EDA465E-4568-41F5-B0E8-4B964762A0DE
ELD-ENC-TU-034,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-034_inserted_image_12.png,46E44DD3-DB42-432F-B9F8-851C8388B79D
ELD-ENC-TU-035,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-035_inserted_image_13.png,3BF9DD88-0CAC-430B-B55D-5AE8A63E9D54
ELD-ENC-TU-036,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-036_inserted_image_14.png,3522FB77-ADBD-4589-81BD-4FAA97B511FD
ELD-ENC-TU-037,Inserted Image,Environment/Tavern,Tavern Inside,Environment/Tavern/ELD-ENC-TU-037_inserted_image_15.png,963F2728-8A3A-48DA-91BE-2232227CD693
ELD-ENC-TU-038,Layer 25,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TU-038_layer_25.png,E599F2DB-2E3C-4CAE-91C6-9389667DED9E
ELD-ENC-TU-039,Layer 27,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TU-039_layer_27_02.png,F3985911-BFF5-48BB-94D5-6FFCDBA6FFF7
ELD-ENC-TU-040,Inserted Image,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TU-040_inserted_image_16.png,656B6C43-00C8-4DD1-A9F5-9549544F540C
ELD-ENC-TU-041,Inserted Image,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TU-041_inserted_image_17.png,6C105CE3-566E-4AB9-A5AB-3B504AB31043
ELD-ENC-TU-042,Layer 29,Environment/Tavern,Tavern,Environment/Tavern/ELD-ENC-TU-042_layer_29_02.png,C159DCFF-1C2E-4A5A-A146-7DE300FE1C72
ELD-ENC-TU-043,Layer 26,Shared,,Shared/ELD-ENC-TU-043_layer_26.png,1513946F-C156-4685-B0D2-D63765013E1C
ELD-ENC-TU-044,Layer 29,Shared,,Shared/ELD-ENC-TU-044_layer_29_03.png,D398F5BE-20CD-43C6-B4D0-AA18FBF6E99F
